= World Cup 1930     # 13 Teams

== USA     # 16 Players

   Lucien LAURENT,                FW,  b. 1907/12/10
   Andre MASCHINOT,               FW,  b. 1903/06/28

   Raoul CAUDRON (FRA),           MG,  b. 1883/12/07


== Argentina     # 22 Players

   Angel BOSSIO,                  GK,  b. 1905/05/05
   Juan BOTASSO,                  GK,  b. 1908/10/23

   Adolfo ZUMELZU,                DF,  b. 1902/01/05
   Rodolfo ORLANDINI,             DF,  b. 1905/01/01
   Alberto CHIVIDINI,             DF,  b. 1907/02/23
   Jose DELLA TORRE,              DF,  b. 1906/03/23
   Fernando PATERNOSTER,          DF,  b. 1903/05/24
   Ramon MUTTIS,                  DF,  b. 1899/03/12

   Luis MONTI,                    MF,  b. 1901/05/15
   Pedro SUAREZ,                  MF,  b. 1909/12/21
   Edmundo PIAGGIO,               MF,  b. 1910/10/03
   Juan EVARISTO,                 MF,  b. 1902/06/20

   Natalio PERINETTI,             FW,  b. 1900/12/28
   Mario EVARISTO,                FW,  b. 1908/12/10
   Carlos SPADARO,                FW,  b. 1902/02/05
   Roberto CERRO,                 FW,  b. 1907/02/23
   Francisco VARALLO,             FW,  b. 1910/02/05
   Guillermo STABILE,             FW,  b. 1906/01/17
   Alejandro SCOPELLI,            FW,  b. 1908/05/12
   Atilio DEMARIA,                FW,  b. 1909/03/19
   Manuel FERREIRA,               FW,  b. 1905/10/22
   Carlos PEUCELLE,               FW,  b. 1908/09/13

   Francisco OLAZAR (ARG),        MG,  b. 1885/07/10
   Juan TRAMUTOLA (ARG),          MG,  b. 1902/10/21


== Chile     # 19 Players

   Roberto CORTES,                GK,  b. 1905/02/02
   Cesar ESPINOZA,                GK,  b. 1900/09/28

   Ernesto CHAPARRO,              DF,  b. 1901/01/04
   Guillermo RIVEROS,             DF,  b. 1902/02/10
   Victor MORALES,                DF,  b. 1905/05/10
   Ulises POIRIER,                DF,  b. 1897/02/02

   Casimiro TORRES,               MF,  b. 1906/01/01
   Guillermo SAAVEDRA,            MF,  b. 1903/11/05
   Arturo TORRES,                 MF,  b. 1906/10/20
   Humberto ELGUETA,              MF,  b. 1904/09/10

   Tomas OJEDA,                   FW,  b. 1910/04/20
   Carlos VIDAL,                  FW,  b. 1902/02/24
   Eberardo VILLALOBOS,           FW,  b. 1908/04/01
   Guillermo ARELLANO,            FW,  b. 1908/08/21
   Guillermo SUBIABRE,            FW,  b. 1903/02/25
   Carlos SCHNEBERGER,            FW,  b. 1902/06/21
   Arturo CODDOU,                 FW,  b. 1905/01/14
   Horacio MUNOZ,                 FW,  b. 1900/08/03
   Juan AGUILERA,                 FW,  b. 1903/10/23

   Gyorgy ORTH (HUN),             MG,  b. 1901/04/30


== Peru     # 22 Players

   Juan VALDIVIESO,               GK,  b. 1910/05/06
   Jorge PARDON,                  GK,  b. 1905/03/04

   Mario DE LAS CASAS,            DF,  b. 1905/08/12
   Alberto SORIA,                 DF,  b. 1900/01/24
   Arturo FERNANDEZ,              DF,  b. 1910/02/03
   Antonio MAQUILON,              DF,  b. 1902/11/29

   Alberto DENEGRI,               MF,            
   Domingo GARCIA,                MF,  b. 1904/01/01
   Julio QUINTANA,                MF,  b. 1904/01/01
   Placido GALINDO,               MF,  b. 1902/03/09
   Eduardo ASTENGO,               MF,  b. 1905/08/15

   Jorge GONGORA,                 FW,  b. 1906/10/12
   Alejandro VILLANUEVA,          FW,  b. 1908/06/04
   Julio LORES,                   FW,  b. 1908/09/15
   Lizardo NUE RODRIGUEZ,         FW,  b. 1910/08/30
   Demetrio NEYRA,                FW,  b. 1908/12/15
   Jose Maria LAVALLE,            FW,  b. 1911/06/05
